service,quantity,price,value,raw_line
Courier Parcel Despatch A (1501g to,2540,2.09,5308.6,"Courier Parcel Despatch A (1501g to 2,540 2.09 S 5,308.60"
Courier Packet Despatch A (1g to 1500g),12287,2.09,25679.83,"Courier Packet Despatch A (1g to 1500g) 12,287 2.09 S 25,679.83"
Scottish Highlands & Islands Parcel,36,5.28,190.08,Scottish Highlands & Islands Parcel 36 5.28 S 190.08
Scottish Highlands & Islands Packet,146,5.28,770.88,Scottish Highlands & Islands Packet 146 5.28 S 770.88
Northern Ireland Parcel Despatch A,28,5.28,147.84,Northern Ireland Parcel Despatch A 28 5.28 S 147.84
Northern Ireland Packet Despatch A (1g,211,5.28,1114.08,"Northern Ireland Packet Despatch A (1g 211 5.28 S 1,114.08"
Channel Islands Parcel Despatch A (1501g,4,5.43,21.72,Channel Islands Parcel Despatch A (1501g 4 5.43 O 21.72
Channel Islands Packet Despatch A (1g to,14,5.43,76.02,Channel Islands Packet Despatch A (1g to 14 5.43 O 76.02
BFPO Despatch,2,4.8,9.6,BFPO Despatch 2 4.80 S 9.60
Alternative Courier Despatch,37,8.3,307.1,Alternative Courier Despatch 37 8.30 S 307.10
Light & Large Despatch,15,8.49,127.35,Light & Large Despatch 15 8.49 S 127.35
Courier Return,38,2.68,101.84,Courier Return 38 2.68 S 101.84
Scottish Highlands & Islands Return,7,5.28,36.96,Scottish Highlands & Islands Return 7 5.28 S 36.96
Northern Ireland Return,30,5.28,158.4,Northern Ireland Return 30 5.28 S 158.40
Light & Large Return,6,11.08,66.48,Light & Large Return 6 11.08 S 66.48
Network Undelivered,78,3.09,241.02,Network Undelivered 78 3.09 S 241.02
Next Day Parcel Despatch A (1501g to,253,2.51,635.03,Next Day Parcel Despatch A (1501g to 253 2.51 S 635.03
Next Day Packet Despatch A (1g to 1500g),657,2.51,1649.07,"Next Day Packet Despatch A (1g to 1500g) 657 2.51 S 1,649.07"
Parcelshop Return,968,2.04,1974.72,"Parcelshop Return 968 2.04 S 1,974.72"
Sunday Parcel Premium,88,1.61,141.68,Sunday Parcel Premium 88 1.61 S 141.68
Sunday Packet Premium,180,1.61,289.8,Sunday Packet Premium 180 1.61 S 289.80
Relabelling,3479,0.59,2052.61,"Relabelling 3,479 0.59 S 2,052.61"
SMS,15529,0.02,310.58,"SMS 15,529 0.02 S 310.58"
ETA,16274,0.01,162.74,"ETA 16,274 0.01 S 162.74"
40 Litre Volumetric Charge,1375,0.6,825.0,"40 Litre Volumetric Charge 1,375 0.60 S 825.00"
Parcel Repackaged,16,1.83,29.28,Parcel Repackaged 16 1.83 S 29.28
Fixed Fuel Surcharge - 2.5%,1,959.39,959.39,Fixed Fuel Surcharge - 2.5% 1 959.39 S 959.39
Week 34 Duplicated Barcodes,1,4.08,4.08,Week 34 Duplicated Barcodes 1 4.08 S 4.08
Clean Air WK35: 443 @ £0.45,443,0.45,199.35,Clean Air WK35: 443 @ £0.45 443 0.45 S 199.35
