shipment_number,shipment_date,charge,raw_line,shipment_date_parsed,source_file
394183868992,13/10/2025,2.99,394183868992 13/10/2025 FedEx Priority 1 17.10 kg 2.99 0.00 2.99,2025-10-13,FedEX 1.pdf
394183887862,13/10/2025,2.99,394183887862 13/10/2025 FedEx Priority 1 17.60 kg 2.99 0.00 2.99,2025-10-13,FedEX 1.pdf
394183900668,13/10/2025,2.99,394183900668 13/10/2025 FedEx Priority 1 17.40 kg 2.99 0.00 2.99,2025-10-13,FedEX 1.pdf
394183910246,13/10/2025,2.99,394183910246 13/10/2025 FedEx Priority 1 18.30 kg 2.99 0.00 2.99,2025-10-13,FedEX 1.pdf
394183923474,13/10/2025,2.99,394183923474 13/10/2025 FedEx Priority 1 18.50 kg 2.99 0.00 2.99,2025-10-13,FedEX 1.pdf
394183932229,13/10/2025,2.99,394183932229 13/10/2025 FedEx Priority 1 17.40 kg 2.99 0.00 2.99,2025-10-13,FedEX 1.pdf
394183943730,13/10/2025,2.99,394183943730 13/10/2025 FedEx Priority 1 17.10 kg 2.99 0.00 2.99,2025-10-13,FedEX 1.pdf
394183954451,13/10/2025,2.99,394183954451 13/10/2025 FedEx Priority 1 17.10 kg 2.99 0.00 2.99,2025-10-13,FedEX 1.pdf
394183964198,13/10/2025,2.99,394183964198 13/10/2025 FedEx Priority 1 7.10 kg 2.99 0.00 2.99,2025-10-13,FedEX 1.pdf
394183994786,13/10/2025,2.99,394183994786 13/10/2025 FedEx Priority 1 17.40 kg 2.99 0.00 2.99,2025-10-13,FedEX 1.pdf
394184002560,13/10/2025,2.99,394184002560 13/10/2025 FedEx Priority 1 17.00 kg 2.99 0.00 2.99,2025-10-13,FedEX 1.pdf
394184008568,13/10/2025,2.99,394184008568 13/10/2025 FedEx Priority 1 17.20 kg 2.99 0.00 2.99,2025-10-13,FedEX 1.pdf
394184023400,13/10/2025,2.99,394184023400 13/10/2025 FedEx Priority 1 16.70 kg 2.99 0.00 2.99,2025-10-13,FedEX 1.pdf
394184035712,13/10/2025,2.99,394184035712 13/10/2025 FedEx Priority 1 17.10 kg 2.99 0.00 2.99,2025-10-13,FedEX 1.pdf
394184046499,13/10/2025,2.99,394184046499 13/10/2025 FedEx Priority 1 17.40 kg 2.99 0.00 2.99,2025-10-13,FedEX 1.pdf
394184064903,13/10/2025,2.99,394184064903 13/10/2025 FedEx Priority Cop1 17.0y0 kg 2.99 0.00 2.99,2025-10-13,FedEX 1.pdf
